renderers=3707 visible=446 withPropertyBlock=0 instancedMaterialSlots=1 distinctKeys=23
count	visible	type|shader|material|pb|shadows
3280	313	MeshRenderer|Universal Render Pipeline/Lit|URP_M_OfficePapers|pb=0|shadows=On
171	51	MeshRenderer|Universal Render Pipeline/Lit|Paper Tray|pb=0|shadows=On
79	30	MeshRenderer|Universal Render Pipeline/Lit|Laptop Background|pb=0|shadows=On
76	24	MeshRenderer|Universal Render Pipeline/Lit|Wall Clock|pb=0|shadows=On
22	8	MeshRenderer|Universal Render Pipeline/Lit|Laptop Background_emissive|pb=0|shadows=On
19	6	MeshRenderer|Universal Render Pipeline/Lit|Glass|pb=0|shadows=On
10	5	MeshRenderer|Universal Render Pipeline/Lit|Runtime_Emissive|pb=0|shadows=On
3	3	MeshRenderer|Universal Render Pipeline/Lit|Lit|pb=0|shadows=On
2	2	MeshRenderer|Universal Render Pipeline/Lit|Metal 3|pb=0|shadows=On
4	2	MeshRenderer|Universal Render Pipeline/Lit|BR_CrankFlashlight_Mat|pb=0|shadows=On
1	1	MeshRenderer|Universal Render Pipeline/Lit|Leather 1|pb=0|shadows=On
2	1	MeshRenderer|Universal Render Pipeline/Lit|Reception Counter|pb=0|shadows=On
1	1	MeshRenderer|Universal Render Pipeline/Lit|Leather 2|pb=0|shadows=On
1	1	MeshRenderer|Universal Render Pipeline/Lit|Wood|pb=0|shadows=On
1	1	MeshRenderer|Universal Render Pipeline/Lit|Desk 1|pb=0|shadows=On
1	0	SkinnedMeshRenderer|Universal Render Pipeline/Lit|TShirt_White|pb=0|shadows=On
1	0	SkinnedMeshRenderer|Universal Render Pipeline/Lit|MaleSurvivorEyes|pb=0|shadows=On
1	0	SkinnedMeshRenderer|Universal Render Pipeline/Lit|Boots|pb=0|shadows=On
6	0	MeshRenderer|Universal Render Pipeline/Lit|Runtime_Transparent|pb=0|shadows=Off
1	0	SkinnedMeshRenderer|Universal Render Pipeline/Lit|Pants_Woodland|pb=0|shadows=On
26	0	MeshRenderer|Universal Render Pipeline/Lit|WoodenCrate|pb=0|shadows=On
1	0	SkinnedMeshRenderer|Universal Render Pipeline/Lit|Beard|pb=0|shadows=On
1	0	SkinnedMeshRenderer|Shader Graphs/Skin|MaleSurvivorSkin (Instance)|pb=0|shadows=On
lights enabled=0 withShadows=0 total=1
distinctMaterials=30
