renderers=20147 visible=8251 withPropertyBlock=0 instancedMaterialSlots=19 distinctKeys=83
count	visible	type|shader|material|pb|shadows
6	2	SkinnedMeshRenderer|Universal Render Pipeline/Lit|FacelingChildRealForm|pb=0|shadows=On
4	2	SkinnedMeshRenderer|Universal Render Pipeline/Lit|Beard|pb=0|shadows=On
4	2	SkinnedMeshRenderer|Universal Render Pipeline/Lit|MaleSurvivorEyes|pb=0|shadows=On
2	1	MeshRenderer|Universal Render Pipeline/Lit|Leather 2|pb=0|shadows=On
2	1	MeshRenderer|Universal Render Pipeline/Lit|Wood|pb=0|shadows=On
6	1	SkinnedMeshRenderer|Universal Render Pipeline/Lit|FacelingAdultRealForm|pb=0|shadows=On
2	1	MeshRenderer|Universal Render Pipeline/Lit|Leather 1|pb=0|shadows=On
1	0	MeshRenderer|Universal Render Pipeline/Lit|Canon_M_Backrooms_Ceiling_s7|pb=0|shadows=On
1	0	MeshRenderer|Universal Render Pipeline/Lit|LayerPropMatte_s7|pb=0|shadows=On
1	0	MeshRenderer|Universal Render Pipeline/Lit|Canon_M_Backrooms_Floor_s7|pb=0|shadows=On
1	0	MeshRenderer|Universal Render Pipeline/Lit|Canon_M_Backrooms_Floor_s8|pb=0|shadows=On
1	0	MeshRenderer|Backrooms/GridWallOffset|Canon_M_Backrooms_Wall_s8|pb=0|shadows=On
1	0	MeshRenderer|Backrooms/GridWallOffset|Canon_M_Backrooms_Wall_s7|pb=0|shadows=On
1	0	SkinnedMeshRenderer|Universal Render Pipeline/Lit|Pants_Woodland|pb=0|shadows=On
1	0	MeshRenderer|Universal Render Pipeline/Lit|Canon_M_Backrooms_Ceiling_s8|pb=0|shadows=On
10	0	MeshRenderer|Universal Render Pipeline/Lit|Runtime_Emissive|pb=0|shadows=On
4	0	MeshRenderer|Universal Render Pipeline/Lit|BR_CrankFlashlight_Mat|pb=0|shadows=On
1	0	MeshRenderer|Universal Render Pipeline/Lit|Reception Counter|pb=0|shadows=On
1	0	SkinnedMeshRenderer|Universal Render Pipeline/Lit|TShirt_White|pb=0|shadows=On
1	0	SkinnedMeshRenderer|Universal Render Pipeline/Lit|Boots|pb=0|shadows=On
3	0	MeshRenderer|Universal Render Pipeline/Lit|Lit|pb=0|shadows=On
1	0	MeshRenderer|Universal Render Pipeline/Lit|LayerPropMatte_s8|pb=0|shadows=On
lights enabled=310 activeInHierarchy=310 withShadowsActive=8 total=3102 wg3Lights=3101 wg3Renderers=16453 wg3Colliders=19410 wg3Transforms=24796
visibleRenderers=8251 visibleMeshTriangles=236360
distinctMaterials=121
